#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Mar 23 11:46:55 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       extension8bit_map.ncd
#OUTPUT FILE:      extension8bit_pad.csv
#PART TYPE:        xc3s100e
#SPEED GRADE:      -4
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,PROG_B,,,,,,,,,,,,
P2,,DIFFM,IO_L01P_3,UNUSED,,3,,,,,,,,,
P3,,DIFFS,IO_L01N_3,UNUSED,,3,,,,,,,,,
P4,,DIFFM,IO_L02P_3,UNUSED,,3,,,,,,,,,
P5,,DIFFS,IO_L02N_3/VREF_3,UNUSED,,3,,,,,,,,,
P6,,,VCCINT,,,,,,,,1.2,,,,
P7,,,GND,,,,,,,,,,,,
P8,,,VCCO_3,,,3,,,,,any******,,,,
P9,,DIFFM,IO_L03P_3/LHCLK0,UNUSED,,3,,,,,,,,,
P10,,DIFFS,IO_L03N_3/LHCLK1,UNUSED,,3,,,,,,,,,
P11,,DIFFM,IO_L04P_3/LHCLK2,UNUSED,,3,,,,,,,,,
P12,,DIFFS,IO_L04N_3/LHCLK3/IRDY2,UNUSED,,3,,,,,,,,,
P13,,IBUF,IP,UNUSED,,3,,,,,,,,,
P14,,,GND,,,,,,,,,,,,
P15,,DIFFM,IO_L05P_3/LHCLK4/TRDY2,UNUSED,,3,,,,,,,,,
P16,,DIFFS,IO_L05N_3/LHCLK5,UNUSED,,3,,,,,,,,,
P17,,DIFFM,IO_L06P_3/LHCLK6,UNUSED,,3,,,,,,,,,
P18,,DIFFS,IO_L06N_3/LHCLK7,UNUSED,,3,,,,,,,,,
P19,,,GND,,,,,,,,,,,,
P20,,,VCCO_3,,,3,,,,,any******,,,,
P21,,,VCCAUX,,,,,,,,2.5,,,,
P22,,DIFFM,IO_L07P_3,UNUSED,,3,,,,,,,,,
P23,,DIFFS,IO_L07N_3,UNUSED,,3,,,,,,,,,
P24,x<0>,IOB,IO_L01P_2/CSO_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P25,x<16>,IOB,IO_L01N_2/INIT_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
